Site,Month,Position,Depth,Distance,Salinity,pH,Temperature
Kbira,July,Surface,0,72,NA,NA,24.57
Kbira,July,Surface,0,70,NA,NA,24.65
Kbira,July,Surface,0,68,NA,NA,24.71
Kbira,July,Surface,0,66,NA,NA,24.74
Kbira,July,Surface,0,64,NA,NA,24.79
Kbira,July,Surface,0,62,NA,NA,24.85
Kbira,July,Surface,0,60,NA,NA,24.86
Kbira,July,Surface,0,58,NA,NA,24.81
Kbira,July,Surface,0,56,NA,NA,24.93
Kbira,July,Surface,0,54,NA,NA,24.99
Kbira,July,Surface,0,52,NA,NA,25.03
Kbira,July,Surface,0,50,NA,NA,25.08
Kbira,July,Surface,0,48,NA,NA,25.13
Kbira,July,Surface,0,46,NA,NA,25.16
Kbira,July,Surface,0,44,NA,NA,25.19
Kbira,July,Surface,0,42,NA,NA,25.18
Kbira,July,Surface,0,40,NA,NA,25.22
Kbira,July,Surface,0,38,NA,NA,25.22
Kbira,July,Surface,0,36,NA,NA,25.13
Kbira,July,Surface,0,34,NA,NA,25.14
Kbira,July,Surface,0,32,NA,NA,25.12
Kbira,July,Surface,0,30,NA,NA,25.12
Kbira,July,Surface,0,28,NA,NA,25.15
Kbira,July,Surface,0,26,NA,NA,25.26
Kbira,July,Surface,0,24,NA,NA,25.32
Kbira,July,Surface,0,22,NA,NA,25.34
Kbira,July,Surface,0,20,NA,NA,25.39
Kbira,July,Surface,0,18,NA,NA,25.41
Kbira,July,Surface,0,16,NA,NA,25.41
Kbira,July,Surface,0,14,NA,NA,25.42
Kbira,July,Surface,0,12,NA,NA,25.39
Kbira,July,Surface,0,10,NA,NA,25.42
Kbira,July,Surface,0,8,NA,NA,25.47
Kbira,July,Surface,0,6,NA,NA,25.43
Kbira,July,Surface,0,4,NA,NA,25.29
Kbira,July,Surface,0,2,NA,NA,25.04
Kbira,July,Surface,0,0,NA,NA,25.08
Kbira,July,Surface,0,98,NA,NA,24.96
Kbira,July,Surface,0,96,NA,NA,24.98
Kbira,July,Surface,0,94,NA,NA,24.99
Kbira,July,Surface,0,92,NA,NA,25.01
Kbira,July,Surface,0,90,NA,NA,25.01
Kbira,July,Surface,0,88,NA,NA,25.02
Kbira,July,Surface,0,86,NA,NA,25.02
Kbira,July,Surface,0,84,NA,NA,25.02
Kbira,July,Surface,0,82,NA,NA,25.02
Kbira,July,Surface,0,80,NA,NA,25.01
Kbira,July,Surface,0,78,NA,NA,24.98
Kbira,July,Surface,0,76,NA,NA,24.86
Kbira,July,Surface,0,74,NA,NA,24.82
Kbira,July,Surface,0,72,NA,NA,24.9
Kbira,July,Surface,0,70,NA,NA,24.98
Kbira,July,Surface,0,68,NA,NA,25.02
Kbira,July,Surface,0,66,NA,NA,25.03
Kbira,July,Surface,0,64,NA,NA,24.89
Kbira,July,Surface,0,62,NA,NA,24.85
Kbira,July,Surface,0,60,NA,NA,24.92
Kbira,July,Surface,0,58,NA,NA,25.03
Kbira,July,Surface,0,56,NA,NA,25.07
Kbira,July,Surface,0,54,NA,NA,25.11
Kbira,July,Surface,0,52,NA,NA,25.14
Kbira,July,Surface,0,50,NA,NA,25.19
Kbira,July,Surface,0,48,NA,NA,25.21
Kbira,July,Surface,0,46,NA,NA,25.22
Kbira,July,Surface,0,44,NA,NA,25.27
Kbira,July,Surface,0,42,NA,NA,25.26
Kbira,July,Surface,0,40,NA,NA,25.21
Kbira,July,Surface,0,38,NA,NA,25.18
Kbira,July,Surface,0,36,NA,NA,25.18
Kbira,July,Surface,0,34,NA,NA,25.22
Kbira,July,Surface,0,32,NA,NA,25.25
Kbira,July,Surface,0,30,NA,NA,25.28
Kbira,July,Surface,0,28,NA,NA,25.26
Kbira,July,Surface,0,26,NA,NA,25.27
Kbira,July,Surface,0,24,NA,NA,25.26
Kbira,July,Surface,0,22,NA,NA,25.27
Kbira,July,Surface,0,20,NA,NA,25.3
Kbira,July,Surface,0,18,NA,NA,25.38
Kbira,July,Surface,0,16,NA,NA,25.43
Kbira,July,Surface,0,14,NA,NA,25.47
Kbira,July,Surface,0,12,NA,NA,25.51
Kbira,July,Surface,0,10,NA,NA,25.52
Kbira,July,Surface,0,8,NA,NA,25.56
Kbira,July,Surface,0,6,NA,NA,25.58
Kbira,July,Surface,0,4,NA,NA,25.61
Kbira,July,Surface,0,2,NA,NA,25.69
Kbira,July,Surface,0,0,NA,NA,25.89
Kbira,July,Surface,0,98,NA,NA,24.91
Kbira,July,Surface,0,96,NA,NA,24.87
Kbira,July,Surface,0,94,NA,NA,24.81
Kbira,July,Surface,0,92,NA,NA,24.78
Kbira,July,Surface,0,90,NA,NA,24.78
Kbira,July,Surface,0,88,NA,NA,24.91
Kbira,July,Surface,0,86,NA,NA,24.9
Kbira,July,Surface,0,84,NA,NA,24.91
Kbira,July,Surface,0,82,NA,NA,24.91
Kbira,July,Surface,0,80,NA,NA,24.94
Kbira,July,Surface,0,78,NA,NA,24.96
Kbira,July,Surface,0,76,NA,NA,24.94
Kbira,July,Surface,0,74,NA,NA,24.88
Kbira,July,Surface,0,72,NA,NA,24.87
Kbira,July,Surface,0,70,NA,NA,24.86
Kbira,July,Surface,0,68,NA,NA,24.84
Kbira,July,Surface,0,66,NA,NA,24.87
Kbira,July,Surface,0,64,NA,NA,25.1
Kbira,July,Surface,0,62,NA,NA,25.22
Kbira,July,Surface,0,60,NA,NA,25.26
Kbira,July,Surface,0,58,NA,NA,25.32
Kbira,July,Surface,0,56,NA,NA,25.32
Kbira,July,Surface,0,54,NA,NA,25.31
Kbira,July,Surface,0,52,NA,NA,25.33
Kbira,July,Surface,0,50,NA,NA,25.3
Kbira,July,Surface,0,48,NA,NA,25.31
Kbira,July,Surface,0,46,NA,NA,25.32
Kbira,July,Surface,0,44,NA,NA,25.3
Kbira,July,Surface,0,42,NA,NA,25.35
Kbira,July,Surface,0,40,NA,NA,25.42
Kbira,July,Surface,0,38,NA,NA,25.36
Kbira,July,Surface,0,36,NA,NA,25.32
Kbira,July,Surface,0,34,NA,NA,25.37
Kbira,July,Surface,0,32,NA,NA,25.38
Kbira,July,Surface,0,30,NA,NA,25.43
Kbira,July,Surface,0,28,NA,NA,25.51
Kbira,July,Surface,0,26,NA,NA,25.58
Kbira,July,Surface,0,24,NA,NA,25.61
Kbira,July,Surface,0,22,NA,NA,25.77
Kbira,July,Surface,0,20,NA,NA,26.05
Kbira,July,Surface,0,18,NA,NA,26.16
Kbira,July,Surface,0,16,NA,NA,26.27
Kbira,July,Surface,0,14,NA,NA,26.29
Kbira,July,Surface,0,12,NA,NA,26.34
Kbira,July,Surface,0,10,NA,NA,26.39
Kbira,July,Surface,0,8,NA,NA,26.42
Kbira,July,Surface,0,6,NA,NA,26.45
Kbira,July,Surface,0,4,NA,NA,26.48
Kbira,July,Surface,0,2,NA,NA,26.49
Kbira,July,Surface,0,0,NA,NA,26.5
Zghira,July,Surface,0,98,NA,NA,26.26
Zghira,July,Surface,0,96,NA,NA,26.24
Zghira,July,Surface,0,94,NA,NA,26.21
Zghira,July,Surface,0,92,NA,NA,26.18
Zghira,July,Surface,0,90,NA,NA,26.17
Zghira,July,Surface,0,88,NA,NA,26.16
Zghira,July,Surface,0,86,NA,NA,26.15
Zghira,July,Surface,0,84,NA,NA,26.14
Zghira,July,Surface,0,82,NA,NA,26.14
Zghira,July,Surface,0,80,NA,NA,26.14
Zghira,July,Surface,0,78,NA,NA,26.17
Zghira,July,Surface,0,76,NA,NA,26.14
Zghira,July,Surface,0,74,NA,NA,26.13
Zghira,July,Surface,0,72,NA,NA,26.11
Zghira,July,Surface,0,70,NA,NA,26.12
Zghira,July,Surface,0,68,NA,NA,26.13
Zghira,July,Surface,0,66,NA,NA,26.18
Zghira,July,Surface,0,64,NA,NA,26.16
Zghira,July,Surface,0,62,NA,NA,26.12
Zghira,July,Surface,0,60,NA,NA,26.1
Zghira,July,Surface,0,58,NA,NA,26.09
Zghira,July,Surface,0,56,NA,NA,26.09
Zghira,July,Surface,0,54,NA,NA,26.09
Zghira,July,Surface,0,52,NA,NA,26.09
Zghira,July,Surface,0,50,NA,NA,26.11
Zghira,July,Surface,0,48,NA,NA,26.12
Zghira,July,Surface,0,46,NA,NA,26.13
Zghira,July,Surface,0,44,NA,NA,26.14
Zghira,July,Surface,0,42,NA,NA,26.12
Zghira,July,Surface,0,40,NA,NA,26.12
Zghira,July,Surface,0,38,NA,NA,26.13
Zghira,July,Surface,0,36,NA,NA,26.12
Zghira,July,Surface,0,34,NA,NA,26.11
Zghira,July,Surface,0,32,NA,NA,26.11
Zghira,July,Surface,0,30,NA,NA,26.09
Zghira,July,Surface,0,28,NA,NA,26.09
Zghira,July,Surface,0,26,NA,NA,26.1
Zghira,July,Surface,0,24,NA,NA,26.09
Zghira,July,Surface,0,22,NA,NA,26.09
Zghira,July,Surface,0,20,NA,NA,26.09
Zghira,July,Surface,0,18,NA,NA,26.08
Zghira,July,Surface,0,16,NA,NA,26.09
Zghira,July,Surface,0,14,NA,NA,26.1
Zghira,July,Surface,0,12,NA,NA,26.12
Zghira,July,Surface,0,10,NA,NA,26.12
Zghira,July,Surface,0,8,NA,NA,26.29
Zghira,July,Surface,0,6,NA,NA,26.87
Zghira,July,Surface,0,4,NA,NA,26.88
Zghira,July,Surface,0,2,NA,NA,26.94
Zghira,July,Surface,0,0,NA,NA,27.75
Zghira,July,Surface,0,98,NA,NA,26.42
Zghira,July,Surface,0,96,NA,NA,26.45
Zghira,July,Surface,0,94,NA,NA,26.48
Zghira,July,Surface,0,92,NA,NA,26.46
Zghira,July,Surface,0,90,NA,NA,26.45
Zghira,July,Surface,0,88,NA,NA,26.44
Zghira,July,Surface,0,86,NA,NA,26.44
Zghira,July,Surface,0,84,NA,NA,26.45
Zghira,July,Surface,0,82,NA,NA,26.44
Zghira,July,Surface,0,80,NA,NA,26.42
Zghira,July,Surface,0,78,NA,NA,26.46
Zghira,July,Surface,0,76,NA,NA,26.51
Zghira,July,Surface,0,74,NA,NA,26.53
Zghira,July,Surface,0,72,NA,NA,26.54
Zghira,July,Surface,0,70,NA,NA,26.53
